id,gender,game,theme,date,stayTime
5,Female,Snake,Environment,2023-01-31 07:28:53,8
4,Female,Treasure Hunt,School,2023-01-28 10:37:11,26
-1,Unknown,Snake,Environment,2023-01-30 11:06:44,10
4,Female,Crush,Recycle,2023-01-30 11:11:50,28
7,Male,Treasure Hunt,School,2023-01-31 14:57:19,23
8,Male,Treasure Hunt,School,2023-01-31 05:14:20,13
4,Female,Snake,Environment,2023-01-30 19:42:57,33
-3,Unknown,Snake,Environment,2023-01-30 01:25:40,21
5,Female,Crush,Recycle,2023-01-31 04:42:50,13
-1,Unknown,Treasure Hunt,School,2023-01-31 07:36:22,23
9,Male,Treasure Hunt,School,2023-01-30 13:48:41,18
8,Male,Treasure Hunt,School,2023-01-29 11:13:10,17
-3,Unknown,Treasure Hunt,School,2023-01-30 10:57:36,11
5,Female,Treasure Hunt,School,2023-01-28 07:29:37,19
1,Female,Treasure Hunt,School,2023-01-30 13:56:45,30
-1,Unknown,Treasure Hunt,School,2023-01-28 09:27:54,9
3,Female,Treasure Hunt,School,2023-01-29 11:51:09,13
4,Female,Snake,Environment,2023-01-29 12:39:19,9
10,Male,Crush,Recycle,2023-01-30 11:10:02,24
1,Female,Treasure Hunt,School,2023-01-28 04:22:30,27
-1,Unknown,Crush,Recycle,2023-01-28 03:13:37,12
2,Female,Treasure Hunt,School,2023-01-29 16:28:54,21
9,Male,Crush,Recycle,2023-01-31 17:14:51,13
4,Female,Treasure Hunt,School,2023-01-29 02:56:26,6
-5,Unknown,Snake,Environment,2023-01-31 11:44:18,9
9,Male,Snake,Environment,2023-01-29 23:36:03,9
9,Male,Crush,Recycle,2023-01-31 13:14:40,18
-3,Unknown,Crush,Recycle,2023-01-28 15:43:05,34
-5,Unknown,Treasure Hunt,School,2023-01-31 05:23:41,12
-1,Unknown,Treasure Hunt,School,2023-01-31 19:31:27,24
5,Female,Snake,Environment,2023-01-29 10:07:59,11
-4,Unknown,Crush,Recycle,2023-01-30 22:28:58,16
0,Female,Treasure Hunt,School,2023-01-30 20:46:22,23
1,Female,Treasure Hunt,School,2023-01-30 02:46:36,4
8,Male,Snake,Environment,2023-01-30 19:47:52,12
-2,Unknown,Treasure Hunt,School,2023-01-29 14:29:12,33
6,Male,Crush,Recycle,2023-01-30 11:37:40,24
4,Female,Crush,Recycle,2023-01-30 01:56:40,22
6,Male,Crush,Recycle,2023-01-31 17:58:35,11
8,Male,Snake,Environment,2023-01-30 20:05:49,26
-5,Unknown,Treasure Hunt,School,2023-01-28 23:24:23,32
6,Male,Treasure Hunt,School,2023-01-29 22:40:03,10
4,Female,Crush,Recycle,2023-01-31 19:37:43,35
2,Female,Treasure Hunt,School,2023-01-30 15:28:38,18
-1,Unknown,Snake,Environment,2023-01-29 20:17:10,3
-4,Unknown,Treasure Hunt,School,2023-01-31 04:54:31,3
5,Female,Treasure Hunt,School,2023-01-30 22:05:23,31
2,Female,Crush,Recycle,2023-01-30 16:50:57,28
9,Male,Crush,Recycle,2023-01-29 23:51:22,26
-3,Unknown,Treasure Hunt,School,2023-01-30 11:50:50,19
4,Female,Snake,Environment,2023-01-30 03:08:54,29
