id,gender,game,theme,date,stayTime
0,Female,Crush,Recycle,2022-01-27 11:07:43,17
7,Male,Snake,Environment,2022-01-30 14:25:09,25
-2,Unknown,Crush,Recycle,2022-01-29 03:40:43,30
-4,Unknown,Crush,Recycle,2022-01-30 08:06:27,20
-2,Unknown,Crush,Recycle,2022-01-28 11:31:41,30
6,Male,Treasure Hunt,School,2022-01-29 00:12:01,6
-2,Unknown,Crush,Recycle,2022-01-30 22:47:28,15
7,Male,Crush,Recycle,2022-01-27 03:03:09,21
-2,Unknown,Treasure Hunt,School,2022-01-30 09:23:32,11
-1,Unknown,Crush,Recycle,2022-01-28 21:45:14,32
8,Male,Snake,Environment,2022-01-30 03:40:39,29
4,Female,Treasure Hunt,School,2022-01-30 01:01:17,14
1,Female,Treasure Hunt,School,2022-01-28 20:00:11,33
-2,Unknown,Crush,Recycle,2022-01-29 09:31:41,30
-1,Unknown,Crush,Recycle,2022-01-29 22:20:36,9
-2,Unknown,Crush,Recycle,2022-01-28 02:54:38,35
-4,Unknown,Crush,Recycle,2022-01-29 09:28:44,12
1,Female,Snake,Environment,2022-01-28 13:32:02,21
-3,Unknown,Crush,Recycle,2022-01-27 18:08:12,31
0,Female,Crush,Recycle,2022-01-28 02:00:19,4
7,Male,Treasure Hunt,School,2022-01-27 10:12:53,8
6,Male,Treasure Hunt,School,2022-01-28 03:44:04,11
-1,Unknown,Crush,Recycle,2022-01-27 15:42:12,32
-1,Unknown,Snake,Environment,2022-01-30 15:25:27,18
6,Male,Treasure Hunt,School,2022-01-29 01:53:52,10
5,Female,Treasure Hunt,School,2022-01-27 19:42:31,3
-4,Unknown,Crush,Recycle,2022-01-27 21:24:07,33
6,Male,Snake,Environment,2022-01-29 01:38:11,33
8,Male,Treasure Hunt,School,2022-01-29 03:12:46,24
5,Female,Treasure Hunt,School,2022-01-30 19:28:07,22
5,Female,Treasure Hunt,School,2022-01-28 16:30:29,21
2,Female,Treasure Hunt,School,2022-01-29 11:28:35,19
10,Male,Crush,Recycle,2022-01-27 17:40:12,7
4,Female,Snake,Environment,2022-01-30 21:55:22,22
2,Female,Treasure Hunt,School,2022-01-29 06:12:34,9
3,Female,Crush,Recycle,2022-01-27 17:31:31,13
10,Male,Treasure Hunt,School,2022-01-29 08:02:56,18
0,Female,Crush,Recycle,2022-01-30 21:22:32,6
-4,Unknown,Crush,Recycle,2022-01-28 19:22:57,29
4,Female,Snake,Environment,2022-01-29 07:27:21,24
-3,Unknown,Snake,Environment,2022-01-29 19:40:08,14
-2,Unknown,Crush,Recycle,2022-01-29 13:58:07,16
0,Female,Crush,Recycle,2022-01-28 03:28:42,13
9,Male,Snake,Environment,2022-01-28 22:40:46,16
1,Female,Snake,Environment,2022-01-28 03:19:28,27
-3,Unknown,Treasure Hunt,School,2022-01-27 15:44:09,25
7,Male,Snake,Environment,2022-01-30 15:01:15,21
-2,Unknown,Crush,Recycle,2022-01-27 00:49:59,4
-3,Unknown,Treasure Hunt,School,2022-01-29 07:09:43,28
-1,Unknown,Crush,Recycle,2022-01-28 01:49:35,23
