id,gender,website,date,stayTime
0,Female,SchoolHistory,1/31/2023,30
9,Male,News,7/11/2022,36
5,Female,Admission,10/25/2022,15
-1,Unknown,Classroom,6/20/2022,25
5,Female,SchoolHistory,8/11/2022,15
6,Male,News,10/24/2022,18
2,Female,SchoolHistory,11/23/2022,15
-3,Unknown,Classroom,2/4/2022,10
2,Female,News,4/9/2022,23
10,Male,Classroom,5/12/2022,11
-1,Unknown,SchoolHistory,9/2/2022,22
0,Female,MainPage,1/27/2023,10
9,Male,StudentLife,12/19/2022,5
0,Female,Classroom,5/10/2022,15
10,Male,Classroom,6/21/2022,11
-3,Unknown,StudentLife,11/8/2022,17
-1,Unknown,StudentLife,10/12/2022,39
5,Female,Planning,8/13/2022,36
1,Female,Classroom,12/10/2022,31
1,Female,News,1/12/2023,33
-4,Unknown,Classroom,7/22/2022,14
8,Male,StudentLife,12/23/2022,18
0,Female,Classroom,6/17/2022,32
0,Female,SchoolHistory,12/21/2022,20
0,Female,MainPage,3/16/2022,38
2,Female,Classroom,4/19/2022,17
7,Male,Classroom,5/1/2022,25
10,Male,MainPage,3/28/2022,26
-3,Unknown,SchoolHistory,3/24/2022,20
4,Female,News,6/30/2022,11
2,Female,StudentLife,9/29/2022,15
10,Male,SchoolHistory,4/28/2022,40
-4,Unknown,Planning,1/20/2023,27
10,Male,StudentLife,1/21/2023,11
4,Female,News,3/22/2022,19
10,Male,StudentLife,6/20/2022,5
1,Female,News,3/27/2022,19
2,Female,Planning,4/6/2022,31
4,Female,StudentLife,3/14/2022,28
1,Female,SchoolHistory,1/17/2023,23
2,Female,Classroom,7/6/2022,17
5,Female,StudentLife,9/14/2022,8
1,Female,StudentLife,1/26/2023,21
-2,Unknown,StudentLife,7/16/2022,30
2,Female,StudentLife,4/7/2022,40
8,Male,Admission,4/11/2022,37
3,Female,StudentLife,12/30/2022,4
-1,Unknown,Admission,7/14/2022,5
3,Female,Planning,4/7/2022,33
3,Female,StudentLife,5/20/2022,39
0,Female,SchoolHistory,10/20/2022,5
-5,Unknown,MainPage,5/9/2022,17
-2,Unknown,News,1/28/2023,5
2,Female,StudentLife,7/21/2022,21
9,Male,Admission,9/17/2022,9
5,Female,News,3/27/2022,23
4,Female,MainPage,1/4/2023,22
7,Male,Admission,10/15/2022,32
7,Male,News,6/28/2022,19
2,Female,News,6/12/2022,37
-2,Unknown,Planning,4/24/2022,39
-5,Unknown,Planning,5/8/2022,23
7,Male,MainPage,5/11/2022,7
10,Male,News,5/30/2022,16
3,Female,StudentLife,5/6/2022,35
-4,Unknown,StudentLife,12/5/2022,35
6,Male,SchoolHistory,3/15/2022,5
-3,Unknown,MainPage,12/13/2022,32
5,Female,Planning,2/5/2022,36
-3,Unknown,MainPage,11/18/2022,18
1,Female,StudentLife,9/21/2022,8
10,Male,Planning,8/16/2022,17
6,Male,Classroom,10/9/2022,36
-5,Unknown,News,8/5/2022,20
10,Male,Admission,10/20/2022,19
8,Male,SchoolHistory,3/11/2022,11
-5,Unknown,News,9/13/2022,28
2,Female,Planning,10/11/2022,35
-2,Unknown,Planning,4/27/2022,7
-3,Unknown,MainPage,10/13/2022,16
3,Female,StudentLife,8/23/2022,5
7,Male,Planning,5/25/2022,34
-3,Unknown,Classroom,1/27/2023,31
-2,Unknown,Admission,4/2/2022,37
9,Male,SchoolHistory,4/1/2022,18
6,Male,MainPage,1/25/2023,30
4,Female,Classroom,10/18/2022,27
8,Male,Admission,12/18/2022,6
9,Male,Admission,12/18/2022,24
1,Female,StudentLife,6/29/2022,5
6,Male,News,6/16/2022,14
6,Male,Admission,4/19/2022,24
0,Female,Admission,11/21/2022,22
2,Female,MainPage,2/26/2022,38
1,Female,News,3/28/2022,27
-2,Unknown,News,8/17/2022,29
3,Female,Admission,12/5/2022,26
-3,Unknown,Admission,2/16/2022,19
-3,Unknown,Planning,2/26/2022,7
4,Female,Admission,12/14/2022,19
-3,Unknown,News,7/20/2022,4
9,Male,Planning,5/29/2022,33
4,Female,News,5/22/2022,14
-2,Unknown,MainPage,4/12/2022,23
9,Male,News,1/16/2023,23
8,Male,StudentLife,11/22/2022,37
-3,Unknown,Admission,5/21/2022,11
-1,Unknown,Classroom,9/27/2022,15
0,Female,SchoolHistory,8/3/2022,22
0,Female,Classroom,5/3/2022,36
5,Female,Classroom,10/16/2022,6
-5,Unknown,Planning,6/4/2022,16
3,Female,News,1/2/2023,17
0,Female,News,10/3/2022,13
4,Female,SchoolHistory,12/14/2022,18
5,Female,SchoolHistory,12/14/2022,30
0,Female,Classroom,7/7/2022,27
10,Male,StudentLife,11/15/2022,25
-5,Unknown,SchoolHistory,3/8/2022,38
9,Male,Admission,3/14/2022,37
7,Male,Planning,10/12/2022,22
3,Female,Planning,9/17/2022,33
5,Female,News,11/3/2022,32
5,Female,News,10/2/2022,27
-5,Unknown,Admission,7/28/2022,18
-5,Unknown,MainPage,6/3/2022,6
2,Female,StudentLife,3/17/2022,10
-4,Unknown,Admission,10/5/2022,28
5,Female,SchoolHistory,5/10/2022,3
-1,Unknown,SchoolHistory,9/9/2022,38
6,Male,SchoolHistory,5/24/2022,24
3,Female,Admission,9/4/2022,28
-5,Unknown,News,2/24/2022,34
9,Male,Admission,6/3/2022,26
0,Female,News,5/9/2022,25
-5,Unknown,Admission,6/15/2022,7
10,Male,StudentLife,6/29/2022,9
5,Female,News,6/26/2022,5
7,Male,StudentLife,12/20/2022,34
6,Male,Admission,10/16/2022,23
5,Female,SchoolHistory,5/18/2022,29
7,Male,SchoolHistory,1/14/2023,40
-4,Unknown,StudentLife,9/6/2022,40
2,Female,MainPage,9/12/2022,40
2,Female,SchoolHistory,1/20/2023,24
-3,Unknown,Admission,10/31/2022,31
4,Female,StudentLife,11/9/2022,3
8,Male,SchoolHistory,8/26/2022,8
0,Female,Admission,9/3/2022,28
