id,gender,game,theme,date,stayTime
-3,Unknown,Snake,Chinese Culture,2020-01-28 07:59:26,25
7,Male,Crush,Chinese Word,2020-01-26 07:28:14,31
1,Female,Crush,Chinese Word,2020-01-26 15:38:26,11
7,Male,Crush,Chinese Word,2020-01-26 14:59:56,31
-4,Unknown,Crush,Chinese Word,2020-01-27 03:40:47,15
5,Female,Treasure Hunt,School,2020-01-28 07:41:54,8
10,Male,Crush,Chinese Word,2020-01-28 21:49:17,24
-2,Unknown,Crush,Chinese Word,2020-01-28 05:46:54,19
10,Male,Snake,Chinese Culture,2020-01-28 19:07:03,8
-4,Unknown,Crush,Chinese Word,2020-01-26 02:36:42,31
7,Male,Treasure Hunt,School,2020-01-27 04:34:42,3
2,Female,Snake,Chinese Culture,2020-01-27 06:14:53,6
-1,Unknown,Crush,Chinese Word,2020-01-27 05:28:24,13
9,Male,Treasure Hunt,School,2020-01-28 02:53:40,16
0,Female,Snake,Chinese Culture,2020-01-27 01:40:45,7
6,Male,Crush,Chinese Word,2020-01-27 02:33:30,10
10,Male,Snake,Chinese Culture,2020-01-27 14:54:03,19
8,Male,Snake,Chinese Culture,2020-01-27 02:30:45,15
-1,Unknown,Crush,Chinese Word,2020-01-26 00:03:31,25
3,Female,Treasure Hunt,School,2020-01-26 13:26:27,18
-2,Unknown,Snake,Chinese Culture,2020-01-26 13:14:23,5
10,Male,Crush,Chinese Word,2020-01-27 03:17:07,5
-1,Unknown,Treasure Hunt,School,2020-01-26 17:08:39,28
1,Female,Snake,Chinese Culture,2020-01-26 14:04:36,14
1,Female,Crush,Chinese Word,2020-01-27 16:12:56,13
9,Male,Crush,Chinese Word,2020-01-26 00:45:49,23
7,Male,Treasure Hunt,School,2020-01-28 23:53:20,9
8,Male,Snake,Chinese Culture,2020-01-27 05:24:10,30
-5,Unknown,Treasure Hunt,School,2020-01-27 08:36:19,13
5,Female,Treasure Hunt,School,2020-01-28 13:05:52,26
-2,Unknown,Snake,Chinese Culture,2020-01-28 10:08:07,3
0,Female,Treasure Hunt,School,2020-01-28 21:56:41,26
6,Male,Snake,Chinese Culture,2020-01-28 11:22:28,30
3,Female,Crush,Chinese Word,2020-01-27 23:26:36,29
-4,Unknown,Treasure Hunt,School,2020-01-28 18:35:44,23
-2,Unknown,Crush,Chinese Word,2020-01-28 22:51:43,12
2,Female,Treasure Hunt,School,2020-01-26 22:10:41,4
6,Male,Crush,Chinese Word,2020-01-28 18:13:42,11
6,Male,Treasure Hunt,School,2020-01-27 19:18:31,14
5,Female,Crush,Chinese Word,2020-01-26 16:56:02,18
8,Male,Treasure Hunt,School,2020-01-28 13:31:22,31
4,Female,Snake,Chinese Culture,2020-01-26 15:06:40,35
8,Male,Snake,Chinese Culture,2020-01-28 21:37:05,19
3,Female,Treasure Hunt,School,2020-01-28 23:14:48,21
4,Female,Crush,Chinese Word,2020-01-28 09:27:42,27
4,Female,Treasure Hunt,School,2020-01-27 12:47:56,14
6,Male,Treasure Hunt,School,2020-01-26 19:03:57,30
6,Male,Treasure Hunt,School,2020-01-27 18:06:47,12
0,Female,Treasure Hunt,School,2020-01-27 03:22:35,32
-5,Unknown,Crush,Chinese Word,2020-01-28 06:55:34,30
1,Female,Crush,Chinese Word,2020-01-27 20:18:40,9
-3,Unknown,Crush,Chinese Word,2020-01-27 12:28:05,18
-3,Unknown,Snake,Chinese Culture,2020-01-27 07:38:19,4
5,Female,Snake,Chinese Culture,2020-01-28 18:41:14,19
6,Male,Snake,Chinese Culture,2020-01-27 08:22:00,19
1,Female,Crush,Chinese Word,2020-01-27 03:01:43,14
-5,Unknown,Treasure Hunt,School,2020-01-28 05:38:05,7
8,Male,Snake,Chinese Culture,2020-01-28 04:47:49,10
7,Male,Treasure Hunt,School,2020-01-27 03:33:20,19
1,Female,Snake,Chinese Culture,2020-01-28 05:21:06,16
-4,Unknown,Snake,Chinese Culture,2020-01-28 22:09:52,34
3,Female,Treasure Hunt,School,2020-01-28 17:33:15,33
-4,Unknown,Crush,Chinese Word,2020-01-27 07:09:46,35
8,Male,Treasure Hunt,School,2020-01-26 04:31:51,20
2,Female,Crush,Chinese Word,2020-01-26 05:11:32,20
-4,Unknown,Crush,Chinese Word,2020-01-28 04:26:45,33
9,Male,Crush,Chinese Word,2020-01-27 15:54:36,34
2,Female,Crush,Chinese Word,2020-01-26 06:48:59,18
6,Male,Snake,Chinese Culture,2020-01-28 10:04:37,26
-2,Unknown,Treasure Hunt,School,2020-01-26 19:50:42,18
-5,Unknown,Crush,Chinese Word,2020-01-26 04:17:07,14
8,Male,Treasure Hunt,School,2020-01-27 22:05:52,29
8,Male,Snake,Chinese Culture,2020-01-28 18:15:51,33
4,Female,Treasure Hunt,School,2020-01-26 03:30:44,30
-2,Unknown,Crush,Chinese Word,2020-01-27 01:11:52,3
9,Male,Crush,Chinese Word,2020-01-28 12:14:51,32
9,Male,Snake,Chinese Culture,2020-01-27 23:56:06,23
10,Male,Snake,Chinese Culture,2020-01-28 14:52:50,26
1,Female,Snake,Chinese Culture,2020-01-28 06:27:34,35
9,Male,Crush,Chinese Word,2020-01-26 11:31:54,22
0,Female,Treasure Hunt,School,2020-01-27 22:17:41,31
-5,Unknown,Snake,Chinese Culture,2020-01-28 14:50:06,11
7,Male,Snake,Chinese Culture,2020-01-26 14:49:19,35
8,Male,Treasure Hunt,School,2020-01-26 11:24:07,19
5,Female,Snake,Chinese Culture,2020-01-27 00:25:35,15
-2,Unknown,Snake,Chinese Culture,2020-01-26 05:18:34,16
0,Female,Crush,Chinese Word,2020-01-27 21:11:53,33
10,Male,Treasure Hunt,School,2020-01-26 14:16:34,5
1,Female,Crush,Chinese Word,2020-01-26 09:59:08,4
8,Male,Snake,Chinese Culture,2020-01-26 19:09:54,27
4,Female,Snake,Chinese Culture,2020-01-27 12:44:44,4
4,Female,Snake,Chinese Culture,2020-01-26 19:29:17,9
0,Female,Snake,Chinese Culture,2020-01-26 23:52:27,9
0,Female,Treasure Hunt,School,2020-01-26 14:27:31,13
-4,Unknown,Snake,Chinese Culture,2020-01-28 08:37:39,30
3,Female,Crush,Chinese Word,2020-01-28 13:28:40,13
-4,Unknown,Treasure Hunt,School,2020-01-28 09:25:23,19
-4,Unknown,Snake,Chinese Culture,2020-01-28 00:42:12,10
2,Female,Snake,Chinese Culture,2020-01-27 23:37:36,23
-2,Unknown,Crush,Chinese Word,2020-01-28 12:54:51,23
1,Female,Treasure Hunt,School,2020-01-28 04:57:23,15
3,Female,Crush,Chinese Word,2020-01-26 02:18:49,24
-5,Unknown,Snake,Chinese Culture,2020-01-28 09:13:49,7
-1,Unknown,Treasure Hunt,School,2020-01-27 14:32:15,5
-2,Unknown,Crush,Chinese Word,2020-01-27 06:28:15,11
6,Male,Crush,Chinese Word,2020-01-28 18:02:45,21
3,Female,Treasure Hunt,School,2020-01-28 04:00:50,24
8,Male,Snake,Chinese Culture,2020-01-26 18:18:18,10
4,Female,Snake,Chinese Culture,2020-01-27 03:02:53,10
-1,Unknown,Crush,Chinese Word,2020-01-26 12:17:24,33
-2,Unknown,Crush,Chinese Word,2020-01-27 03:28:38,24
3,Female,Crush,Chinese Word,2020-01-26 11:49:08,34
-1,Unknown,Snake,Chinese Culture,2020-01-26 05:56:23,33
-5,Unknown,Crush,Chinese Word,2020-01-27 06:44:45,6
9,Male,Crush,Chinese Word,2020-01-28 14:16:03,24
-4,Unknown,Snake,Chinese Culture,2020-01-28 15:41:58,7
6,Male,Treasure Hunt,School,2020-01-27 15:31:11,28
10,Male,Crush,Chinese Word,2020-01-28 11:19:55,5
2,Female,Snake,Chinese Culture,2020-01-27 19:47:07,10
-5,Unknown,Treasure Hunt,School,2020-01-27 12:18:10,28
9,Male,Treasure Hunt,School,2020-01-28 19:42:20,10
6,Male,Treasure Hunt,School,2020-01-27 07:45:45,25
7,Male,Snake,Chinese Culture,2020-01-28 16:06:57,16
9,Male,Treasure Hunt,School,2020-01-28 03:48:43,26
8,Male,Crush,Chinese Word,2020-01-28 00:38:03,5
1,Female,Treasure Hunt,School,2020-01-26 10:03:18,9
-5,Unknown,Snake,Chinese Culture,2020-01-28 07:12:47,25
-1,Unknown,Snake,Chinese Culture,2020-01-28 22:01:04,33
-3,Unknown,Crush,Chinese Word,2020-01-28 21:04:41,8
0,Female,Crush,Chinese Word,2020-01-26 10:36:03,29
7,Male,Crush,Chinese Word,2020-01-27 13:22:11,34
-4,Unknown,Treasure Hunt,School,2020-01-26 20:58:55,12
6,Male,Snake,Chinese Culture,2020-01-27 00:14:33,3
-4,Unknown,Snake,Chinese Culture,2020-01-28 08:13:57,10
1,Female,Snake,Chinese Culture,2020-01-28 06:47:16,32
3,Female,Treasure Hunt,School,2020-01-27 09:58:45,24
2,Female,Snake,Chinese Culture,2020-01-28 18:37:24,22
-3,Unknown,Treasure Hunt,School,2020-01-28 09:53:35,5
-2,Unknown,Snake,Chinese Culture,2020-01-28 22:17:55,24
-4,Unknown,Crush,Chinese Word,2020-01-26 09:00:21,34
9,Male,Snake,Chinese Culture,2020-01-27 18:42:31,9
6,Male,Crush,Chinese Word,2020-01-26 05:50:54,19
-5,Unknown,Crush,Chinese Word,2020-01-27 23:31:29,5
1,Female,Treasure Hunt,School,2020-01-26 01:04:47,5
3,Female,Treasure Hunt,School,2020-01-28 02:54:47,27
-3,Unknown,Crush,Chinese Word,2020-01-27 06:07:16,17
9,Male,Crush,Chinese Word,2020-01-26 12:49:00,16
-5,Unknown,Crush,Chinese Word,2020-01-28 03:32:30,35
5,Female,Snake,Chinese Culture,2020-01-26 03:25:36,30
10,Male,Snake,Chinese Culture,2020-01-26 09:15:42,11
5,Female,Treasure Hunt,School,2020-01-27 19:27:06,14
2,Female,Crush,Chinese Word,2020-01-28 02:34:29,29
5,Female,Crush,Chinese Word,2020-01-28 06:03:04,4
7,Male,Crush,Chinese Word,2020-01-28 12:08:13,19
-2,Unknown,Snake,Chinese Culture,2020-01-28 08:45:31,28
9,Male,Snake,Chinese Culture,2020-01-27 06:52:20,32
8,Male,Crush,Chinese Word,2020-01-27 03:14:00,32
1,Female,Treasure Hunt,School,2020-01-27 16:07:01,7
6,Male,Treasure Hunt,School,2020-01-26 15:43:30,35
2,Female,Crush,Chinese Word,2020-01-27 15:33:22,30
-1,Unknown,Crush,Chinese Word,2020-01-26 01:40:27,22
1,Female,Snake,Chinese Culture,2020-01-26 15:23:32,12
-3,Unknown,Crush,Chinese Word,2020-01-28 17:01:18,34
5,Female,Snake,Chinese Culture,2020-01-27 00:12:21,33
3,Female,Snake,Chinese Culture,2020-01-26 20:46:25,7
10,Male,Snake,Chinese Culture,2020-01-28 20:34:57,28
4,Female,Snake,Chinese Culture,2020-01-27 10:57:40,10
2,Female,Crush,Chinese Word,2020-01-27 08:04:37,33
9,Male,Snake,Chinese Culture,2020-01-28 11:48:41,13
9,Male,Snake,Chinese Culture,2020-01-28 12:56:05,35
-1,Unknown,Snake,Chinese Culture,2020-01-27 13:35:22,28
7,Male,Crush,Chinese Word,2020-01-26 08:04:22,5
4,Female,Snake,Chinese Culture,2020-01-27 15:37:28,15
-3,Unknown,Snake,Chinese Culture,2020-01-28 08:07:01,24
-3,Unknown,Treasure Hunt,School,2020-01-26 13:12:48,7
5,Female,Crush,Chinese Word,2020-01-28 16:45:41,19
-5,Unknown,Snake,Chinese Culture,2020-01-27 10:36:14,12
1,Female,Snake,Chinese Culture,2020-01-26 21:38:50,27
0,Female,Crush,Chinese Word,2020-01-27 09:47:34,28
10,Male,Treasure Hunt,School,2020-01-28 01:16:33,29
-3,Unknown,Snake,Chinese Culture,2020-01-26 19:20:14,17
5,Female,Crush,Chinese Word,2020-01-28 19:13:45,6
1,Female,Treasure Hunt,School,2020-01-27 10:38:23,4
10,Male,Crush,Chinese Word,2020-01-27 09:58:47,33
6,Male,Snake,Chinese Culture,2020-01-28 21:23:54,32
9,Male,Treasure Hunt,School,2020-01-28 06:30:30,3
-5,Unknown,Crush,Chinese Word,2020-01-28 20:04:05,33
-5,Unknown,Crush,Chinese Word,2020-01-28 18:20:23,33
7,Male,Snake,Chinese Culture,2020-01-28 14:16:56,26
-5,Unknown,Treasure Hunt,School,2020-01-26 06:52:23,28
1,Female,Treasure Hunt,School,2020-01-27 09:02:41,6
10,Male,Snake,Chinese Culture,2020-01-27 07:14:08,25
4,Female,Snake,Chinese Culture,2020-01-26 09:08:27,8
8,Male,Snake,Chinese Culture,2020-01-26 21:48:05,32
-5,Unknown,Crush,Chinese Word,2020-01-27 15:55:46,7
9,Male,Crush,Chinese Word,2020-01-27 02:48:01,18
1,Female,Treasure Hunt,School,2020-01-27 04:39:10,12
2,Female,Crush,Chinese Word,2020-01-27 03:43:06,9
10,Male,Crush,Chinese Word,2020-01-28 16:39:17,21
-4,Unknown,Treasure Hunt,School,2020-01-26 10:03:15,32
6,Male,Crush,Chinese Word,2020-01-28 04:12:29,34
5,Female,Snake,Chinese Culture,2020-01-27 20:04:53,31
-2,Unknown,Snake,Chinese Culture,2020-01-28 09:37:05,5
4,Female,Snake,Chinese Culture,2020-01-26 02:11:41,32
1,Female,Treasure Hunt,School,2020-01-28 20:52:01,24
1,Female,Crush,Chinese Word,2020-01-26 02:32:35,21
5,Female,Snake,Chinese Culture,2020-01-26 00:58:56,35
-5,Unknown,Crush,Chinese Word,2020-01-27 01:26:59,15
-5,Unknown,Crush,Chinese Word,2020-01-26 14:40:38,19
1,Female,Crush,Chinese Word,2020-01-27 01:35:02,35
6,Male,Treasure Hunt,School,2020-01-27 00:28:19,9
-5,Unknown,Crush,Chinese Word,2020-01-27 18:20:12,18
3,Female,Treasure Hunt,School,2020-01-28 15:02:17,18
-1,Unknown,Crush,Chinese Word,2020-01-27 15:45:23,35
9,Male,Snake,Chinese Culture,2020-01-28 09:13:54,29
7,Male,Snake,Chinese Culture,2020-01-28 13:25:16,8
1,Female,Treasure Hunt,School,2020-01-28 22:35:03,30
2,Female,Crush,Chinese Word,2020-01-28 18:59:54,35
8,Male,Snake,Chinese Culture,2020-01-26 02:23:53,17
3,Female,Treasure Hunt,School,2020-01-28 21:33:46,19
-5,Unknown,Treasure Hunt,School,2020-01-28 12:21:57,31
4,Female,Treasure Hunt,School,2020-01-28 07:22:59,30
3,Female,Treasure Hunt,School,2020-01-26 08:59:35,10
7,Male,Treasure Hunt,School,2020-01-26 10:01:06,21
1,Female,Snake,Chinese Culture,2020-01-26 08:47:22,6
8,Male,Snake,Chinese Culture,2020-01-28 01:26:37,12
6,Male,Crush,Chinese Word,2020-01-28 01:23:08,16
2,Female,Snake,Chinese Culture,2020-01-27 16:25:51,24
10,Male,Crush,Chinese Word,2020-01-27 07:34:59,5
-3,Unknown,Treasure Hunt,School,2020-01-26 09:24:38,26
5,Female,Crush,Chinese Word,2020-01-27 18:57:01,6
4,Female,Crush,Chinese Word,2020-01-28 14:20:17,8
0,Female,Snake,Chinese Culture,2020-01-26 13:42:06,8
6,Male,Snake,Chinese Culture,2020-01-28 06:26:59,18
2,Female,Treasure Hunt,School,2020-01-26 07:48:27,18
4,Female,Treasure Hunt,School,2020-01-26 10:54:39,22
-4,Unknown,Crush,Chinese Word,2020-01-26 03:05:16,28
7,Male,Snake,Chinese Culture,2020-01-28 08:59:44,3
8,Male,Snake,Chinese Culture,2020-01-27 21:02:34,11
8,Male,Treasure Hunt,School,2020-01-26 23:32:02,28
-1,Unknown,Snake,Chinese Culture,2020-01-28 15:48:22,13
7,Male,Snake,Chinese Culture,2020-01-27 18:29:39,18
2,Female,Snake,Chinese Culture,2020-01-27 07:39:50,4
